,mu_cape,s06,relhum850-500,lat,lon,lon_used,lat_used,loc_id,year,month,day,hour,minute
0,0.000,23.340,22.312,-34.592,138.520,138.535,-34.585,Adelaide AP,2012,11,1,0,0
1,0.000,7.223,11.083,-34.592,138.520,138.535,-34.585,Adelaide AP,2012,11,1,6,0
2,0.000,12.033,10.333,-34.592,138.520,138.535,-34.585,Adelaide AP,2012,11,1,12,0
3,0.000,16.118,14.271,-34.592,138.520,138.535,-34.585,Adelaide AP,2012,11,1,18,0
4,0.000,12.662,15.271,-34.592,138.520,138.535,-34.585,Adelaide AP,2012,11,2,0,0
5,0.000,14.434,31.521,-34.592,138.520,138.535,-34.585,Adelaide AP,2012,11,2,6,0
6,0.000,14.884,54.188,-34.592,138.520,138.535,-34.585,Adelaide AP,2012,11,2,12,0
7,143.616,13.694,61.667,-34.592,138.520,138.535,-34.585,Adelaide AP,2012,11,2,18,0
8,0.000,18.345,56.229,-34.592,138.520,138.535,-34.585,Adelaide AP,2012,11,3,0,0
9,0.000,23.184,54.229,-34.592,138.520,138.535,-34.585,Adelaide AP,2012,11,3,6,0
10,0.000,28.072,33.521,-34.592,138.520,138.535,-34.585,Adelaide AP,2012,11,3,12,0
11,0.000,26.408,30.354,-34.592,138.520,138.535,-34.585,Adelaide AP,2012,11,3,18,0
12,0.000,15.858,33.688,-34.592,138.520,138.535,-34.585,Adelaide AP,2012,11,4,0,0
